set_name,feature,coefficient,p_value,significant_0_05,significant_0_01
set1_standardized,Cement,14.032763287740444,2.4611998373329235e-40,True,True
set1_standardized,Slag,10.481871484739383,6.354749069768198e-26,True,True
set1_standardized,Fly_Ash,6.816255194198069,3.318101052062441e-13,True,True
set1_standardized,Water,-2.9770574596667547,0.001842734102583198,True,True
set1_standardized,Superplasticizer,0.7109938406336943,0.236255055550285,False,False
set1_standardized,Coarse_Aggregate,2.217937096964792,0.00547465939376222,True,True
set1_standardized,Fine_Aggregate,2.7726180890813836,0.0029416307076064433,True,True
set1_standardized,Age,7.280876555253485,8.526522999196845e-74,True,True
set2_raw,Cement,0.13245825223829666,2.4611998373302775e-40,True,True
set2_raw,Slag,0.12474199062172238,6.354749069762433e-26,True,True
set2_raw,Fly_Ash,0.10613089684701096,3.3181010520601854e-13,True,True
set2_raw,Water,-0.1337157053341646,0.0018427341025840454,True,True
set2_raw,Superplasticizer,0.11891826620430479,0.23625505555026416,False,False
set2_raw,Coarse_Aggregate,0.028609324670196803,0.005474659393760136,True,True
set2_raw,Fine_Aggregate,0.03386952482767895,0.0029416307076052454,True,True
set2_raw,Age,0.11880440762545841,8.526522999199899e-74,True,True
set3_log1p,Cement,23.611862220366497,1.1004820413309517e-85,True,True
set3_log1p,Slag,2.302513795635552,7.344728500375873e-36,True,True
set3_log1p,Fly_Ash,0.19547013302120175,0.29486760405641915,False,False
set3_log1p,Water,-38.332155001430465,1.6801036006915434e-20,True,True
set3_log1p,Superplasticizer,1.8770646899728403,8.082550508126006e-06,True,True
set3_log1p,Coarse_Aggregate,4.188845816077613,0.40541706986340026,False,False
set3_log1p,Fine_Aggregate,-6.6553506418696085,0.08874613009760633,False,False
set3_log1p,Age,9.034468090311865,1.7373688232431944e-192,True,True
